jeg gir deg alle dataene : Region	Tilhørighet2EnhetID	Tilhørighet2	TilhørighetEnhetID	Tilhørighet	EnhetID	Enhetsnavn	Enhetskorttype	Enhetstype (Utledet)	Antall G/K - plasser	Antall budsjetterte plasser	Hjemler	Nedlagt Dato	Eierskapenhet	Lokasjonskode	ePhorte Adm Id	Fylke	Kommune	Adresse	Postnummer	Poststed	Telefon	Nettside	EPost	Orgnr
Vest	48647	Human Care Ung AS	28091	Humana Barnevern Sandnes	2718	Lyefjell	Avdeling	Barnevernsinstitusjon	2	0	/ § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon		Privat, kommersiell			ROGALAND	TIME	Tverrfjellveien 3	4340	BRYNE	47011891			996283267
Øst	1365	Stendi AS	28086	Stendi Område Øst	2724	Edda	Avdeling	Barnevernsinstitusjon	4	0	/ § 3-2 Hjelpetiltak omsorg / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse / § 4-1 Hjelpetiltak akutt		Privat, kommersiell			ØSTFOLD	MOSS	Eddaveien 12	1513	MOSS	69287406    			985194653
Midt	48647	Human Care Ung AS	1395	Humana barnevern Trondheim	2734	Furuhaugen	Avdeling	Barnevernsinstitusjon	3	0	/ § 3-2 Hjelpetiltak omsorg / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse		Privat, kommersiell			TRØNDELAG	TRONDHEIM	Kolsåsen 38	7079	FLATÅSEN			eivind.kjonsvik@humananorge.no	919689102
Øst	1365	Stendi AS	28086	Stendi Område Øst	2750	Porsmyrveien	Avdeling	Barnevernsinstitusjon	9	0	/ § 3-2 Hjelpetiltak omsorg / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Privat, kommersiell			ØSTFOLD	FREDRIKSTAD	Porsmyrveien 3	1655	SELLEBAKK			porsmyr@aleris.no	
Øst	1365	Stendi AS	28086	Stendi Område Øst	2752	Sæbytunet	Avdeling	Barnevernsinstitusjon	7	0	/ § 3-2 Hjelpetiltak omsorg / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Privat, kommersiell			ØSTFOLD	VÅLER (ØSTFOLD)	Missingmyrveien 78, 1593 Svinndal	1593	SVINNDAL	22222222			986313435
Vest	1365	Stendi AS	28085	Stendi Område Sør og Vest	2767	Unneland	Avdeling	Barnevernsinstitusjon	3	0	/ § 3-2 Hjelpetiltak omsorg / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke / § 4-1 Hjelpetiltak akutt		Privat, kommersiell			VESTLAND	BERGEN	Unnelandsvn 297, pb 11 Slåttha	5268	HAUKELAND	55116110			991832963
Midt	48647	Human Care Ung AS	1395	Humana barnevern Trondheim	2771	Tanem	Avdeling	Barnevernsinstitusjon	3	0	/ § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Privat, kommersiell			TRØNDELAG	TRONDHEIM	Plogvegen 3	7549	TANEM				919689226
Nord	1365	Stendi AS	24701	Stendi Område Nord, Midt og Innlandet	2772	Mjelde Bofellesskap	Avdeling	Barnevernsinstitusjon	4	0	/ § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke / § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse		Privat, kommersiell			TROMS	TROMSØ	Breivikeidvegen 1899	9027	RAMFJORDBOTN			mjelde@stendi.no	985194653
Vest	1365	Stendi AS	28085	Stendi Område Sør og Vest	2773	Løbergsveien	Avdeling	Barnevernsinstitusjon	3	0	/ § 3-2 Hjelpetiltak omsorg / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke / § 4-1 Hjelpetiltak akutt		Privat, kommersiell			VESTLAND	BERGEN	Løbergsveien 113 pb 11 Slåtth.	5073	BERGEN	55116110			991832165
Midt			1405	Rena Ungdoms- og Familiesenter	23593	Holmevatnet	Avdeling	Barnevernsinstitusjon	3	0	/ § 3-2 Hjelpetiltak omsorg / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse		Privat, kommersiell			MØRE OG ROMSDAL	ÅLESUND	Holmevatnet 6	6020	ÅLESUND			barneverntiltaket@rufs.no	
Sør	1365	Stendi AS	28085	Stendi Område Sør og Vest	24225	Spind	Barnevernsinstitusjon	Barnevernsinstitusjon	3	0	/ § 3-2 Hjelpetiltak omsorg / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke / § 4-1 Hjelpetiltak akutt		Privat, kommersiell			AGDER	FARSUND	Bekkevik 89	4550	FARSUND				916646224
Midt	1365	Stendi AS	24701	Stendi Område Nord, Midt og Innlandet	24613	Avd. Kompasset, BF Stjernen	Avdeling	Barnevernsinstitusjon	4	0	/ § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke		Privat, kommersiell			TRØNDELAG	TRONDHEIM	Venusveien 8	7036	TRONDHEIM			mona.andersen@aleris.no	
Sør	48647	Human Care Ung AS	25133	Humana Barnevern Kristiansand	25060	Bjorbekk	Barnevernsinstitusjon	Barnevernsinstitusjon	2	0	/ § 3-2 Hjelpetiltak omsorg / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon		Privat, kommersiell			AGDER	ARENDAL	Sørsvannsveien 114	4824	BJORBEKK				924930535
Vest	48647	Human Care Ung AS	28091	Humana Barnevern Sandnes	26252	Ålgård	Avdeling	Barnevernsinstitusjon	3	0	/ § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon		Privat, kommersiell			ROGALAND	GJESDAL	Jærbubråtet 5	4330	ÅLGÅRD				916043732
Midt	1365	Stendi AS	24701	Stendi Område Nord, Midt og Innlandet	26299	Avd. Kompasset, BF Kompasset	Avdeling	Barnevernsinstitusjon	4	0	/ § 3-2 Hjelpetiltak omsorg / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse		Privat, kommersiell			TRØNDELAG	TRONDHEIM	Tors veg 4	7032	TRONDHEIM			kine.spigseth@stendi.no	
Øst			50997	Barnevernets akuttinstitusjon for ungdom i Oslo	27119	Barnevernets akuttinstitusjon for ungdom i Oslo	Barnevernsinstitusjon	Barnevernsinstitusjon	8	0	/ § 3-2 Hjelpetiltak omsorg / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse / § 5-5 Flytting / § 4-5 Akuttvedtak v/fare for menneskehandel / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke / § 4-5 Akuttvedtak v/fare for menneskehandel / § 6-6 Plassering i institusjon v/fare for menneskehandel		Kommunal			OSLO	OSLO	Jutulveien 17	0853	OSLO				
Øst	48647	Human Care Ung AS	48650	Humana Barnevern Øst	27401	Billingstad	Barnevernsinstitusjon	Barnevernsinstitusjon	3	0	/ § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke		Privat, kommersiell			AKERSHUS	BÆRUM	Åstadbakken 32	1341	SLEPENDEN				914760828
Vest	41139	CRUX helse og oppvekst	1338	CRUX oppvekst - institusjon Bergen	27469	Conrad Mohrs veg	Avdeling	Barnevernsinstitusjon	5	0	/ § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse / § 4-2 Akutt, uten samtykke		Privat, ideell			VESTLAND	BERGEN	Conrad Mohrs veg 20	5072	BERGEN				922173389
Nord	1365	Stendi AS	24701	Stendi Område Nord, Midt og Innlandet	29485	Skogtun bofellesskap	Avdeling	Barnevernsinstitusjon	4	0	/ § 3-2 Hjelpetiltak omsorg / § 4-2 Akutt, uten samtykke / § 3-6 Hjelpetiltak til unge over 18 år / § 5-1 Omsorgsovertakelse / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Privat, kommersiell			TROMS	MÅLSELV	Målsnesveien 396	9321	MOEN				934994930
Sør	27825	Frelsesarmeens seksjon for oppvekst	1334	Frelsesarmeen institusjon, enhet sør	29682	Ørentoppen	Barnevernsinstitusjon	Barnevernsinstitusjon	3	0	/ § 3-2 Hjelpetiltak omsorg / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse		Privat, ideell			BUSKERUD	DRAMMEN	Hotvetveien 134	3023	DRAMMEN				9306289697
Sør	27825	Frelsesarmeens seksjon for oppvekst	1334	Frelsesarmeen institusjon, enhet sør	29683	Hotvetveien 57	Barnevernsinstitusjon	Barnevernsinstitusjon	0	0			Privat, ideell			BUSKERUD	DRAMMEN	Hotvetveien 57	3018	DRAMMEN				973112058
Vest	27879	Aberia Ung AS	52061	Aberia Ung - Bergen	29883	Fugledalen	Barnevernsinstitusjon	Barnevernsinstitusjon	3	0	/ § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke / § 4-2 Akutt, uten samtykke / § 4-1 Hjelpetiltak akutt		Privat, kommersiell			VESTLAND	OSTERØY	Rankensvegen 1074	5281	VALESTRANDSFOSSEN				921284837
Vest	27879	Aberia Ung AS	52061	Aberia Ung - Bergen	29885	Ramberget	Barnevernsinstitusjon	Barnevernsinstitusjon	3	0	/ § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke		Privat, kommersiell			VESTLAND	OSTERØY	Rambergsvegen 142	5282	LONEVÅG				821284872
Midt	1365	Stendi AS	24701	Stendi Område Nord, Midt og Innlandet	30071	Avd. Birka, BF Havro 	Avdeling	Barnevernsinstitusjon	2	0	/ § 3-2 Hjelpetiltak omsorg / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse		Privat, kommersiell			TRØNDELAG	TRONDHEIM	Hangerslettveien 398	7070	BOSBERG				
Nord	1365	Stendi AS	24701	Stendi Område Nord, Midt og Innlandet	30152	Hansnes Bofellesskap	Avdeling	Barnevernsinstitusjon	2	0	/ § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke / § 5-1 Omsorgsovertakelse		Privat, kommersiell			TROMS	KARLSØY	Grunnfjordvegen 36	9130	HANSNES				991834990
Sør	48647	Human Care Ung AS	1375	Humana Barnevern Arendal	30154	Breivik	Barnevernsinstitusjon	Barnevernsinstitusjon	2	0	/ § 3-2 Hjelpetiltak omsorg / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse / § 5-1 Omsorgsovertakelse / § 3-2 Hjelpetiltak omsorg / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke		Privat, kommersiell			AGDER	ARENDAL	Kveheiveien 7	4810	EYDEHAVN				919689544
Sør			1274	Næromsorg Sør AS	30160	Villa Kråkebakken	Barnevernsinstitusjon	Barnevernsinstitusjon	3	0	/ § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Privat, kommersiell			AGDER	ARENDAL	Munkestø 5	4823	NEDENES				917751919
Sør	30529	Haraldsplass Serio Ung	51335	Haraldsplass Serio Ung Region Agder og Rogaland	30693	Halshaug	Barnevernsinstitusjon	Barnevernsinstitusjon	3	0	/ § 3-2 Hjelpetiltak omsorg / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse		Privat, ideell			AGDER	LINDESNES	Halsaug Terrasse 10	4514	MANDAL				930656399
Øst	27879	Aberia Ung AS	52063	Aberia Ung - Østfold	30727	Villa Sole	Barnevernsinstitusjon	Barnevernsinstitusjon	6	0	/ § 11-1 Opphold på omsorgssenter / § 3-2 Hjelpetiltak omsorg / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse		Privat, kommersiell			AKERSHUS	VESTBY	Soleveien 1	1540	VESTBY				984331584
Nord	1365	Stendi AS	24701	Stendi Område Nord, Midt og Innlandet	30747	Nyvoll Bofellesskap	Barnevernsinstitusjon	Barnevernsinstitusjon	2	0	/ § 3-2 Hjelpetiltak omsorg / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Privat, kommersiell			NORDLAND	BØ	Postboks 56	8465	STRAUMSJØEN				916366116
Vest	41139	CRUX helse og oppvekst	1340	CRUX oppvekst - institusjon Haugalandet	30785	Rogalandsgata 35A	Barnevernsinstitusjon	Barnevernsinstitusjon	5	0	/ § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse / § 4-2 Akutt, uten samtykke		Privat, ideell			ROGALAND	HAUGESUND	Rogalandsgata 35A	5506	HAUGESUND				922173532
Nord	1365	Stendi AS	24701	Stendi Område Nord, Midt og Innlandet	30874	Østre bofellesskap	Avdeling	Barnevernsinstitusjon	2	0	/ § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke / § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse		Privat, kommersiell			FINNMARK	ALTA	Østre Kvenvik 100	9518	ALTA				
Nord	1365	Stendi AS	24701	Stendi Område Nord, Midt og Innlandet	30876	Russeluft Bofellesskap	Barnevernsinstitusjon	Barnevernsinstitusjon	2	0	/ § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke / § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse		Privat, kommersiell			FINNMARK	ALTA	Russeluftveien 260	9517	ALTA				916365985
Midt	27825	Frelsesarmeens seksjon for oppvekst	28246	Frelsesarmeen institusjon, enhet Midt	30881	Eikebo	Avdeling	Barnevernsinstitusjon	4	0	/ § 3-2 Hjelpetiltak omsorg / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse		Privat, ideell			TRØNDELAG	MELHUS	Sagbakken 4	7234	LER			hilde.anhanger@frelsesarmeen.no	930628646
Sør	48647	Human Care Ung AS	48650	Humana Barnevern Øst	31138	Mastebakke	Barnevernsinstitusjon	Barnevernsinstitusjon	3	0	/ § 3-2 Hjelpetiltak omsorg / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Privat, kommersiell			VESTFOLD	HORTEN	Mastebakke 65	3184	BORRE				919689447
Øst	1365	Stendi AS	28086	Stendi Område Øst	32208	Ulveveien	Barnevernsinstitusjon	Barnevernsinstitusjon	3	0	/ § 3-2 Hjelpetiltak omsorg / § 3-6 Hjelpetiltak til unge over 18 år / § 5-1 Omsorgsovertakelse		Privat, kommersiell			ØSTFOLD	RAKKESTAD	Ulveveien 5	1890	RAKKESTAD				916814372
Øst	27250	Human Care Ung (tidl Solhaugen)	1378	Humana (tidl Solhaugen Omsorg og behandling AS)	32243	Barn i Villa - Oslo	Barnevernsinstitusjon	Barnevernsinstitusjon	3	0	/ § 3-2 Hjelpetiltak omsorg / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse		Privat, kommersiell			OSLO	OSLO	Snøggveien 8F	1263	OSLO				925036226
Sør			31011	Den Skreddersydde Enhet AS	32839	Skiftenes	Barnevernsinstitusjon	Barnevernsinstitusjon	3	0	/ § 5-1 Omsorgsovertakelse / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 3-2 Hjelpetiltak omsorg / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon		Privat, kommersiell			AGDER	GRIMSTAD	Hørteveien 8	4886	GRIMSTAD				913743059
Midt	1365	Stendi AS	24701	Stendi Område Nord, Midt og Innlandet	34386	Heimtun	Barnevernsinstitusjon	Barnevernsinstitusjon	3	0	/ § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Privat, kommersiell			MØRE OG ROMSDAL	HUSTADVIKA	Ekrenveien 6	6444	FARSTAD			karianne.havnes@aleris.no	985194653
Midt	1365	Stendi AS	24701	Stendi Område Nord, Midt og Innlandet	35826	Fossøya, Liatunet Bofellesskap	Barnevernsinstitusjon	Barnevernsinstitusjon	2	0	/ § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse / § 4-2 Akutt, uten samtykke		Privat, kommersiell			TRØNDELAG	MALVIK	Naustbergvegen 1	7563	MALVIK			mona.andersen@aleris.no	917644373
Øst	27250	Human Care Ung (tidl Solhaugen)	1378	Humana (tidl Solhaugen Omsorg og behandling AS)	35864	Korsegård	Barnevernsinstitusjon	Barnevernsinstitusjon	2	0	/ § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Privat, kommersiell			ØSTFOLD	INDRE ØSTFOLD	Kongleveien 20	1812	ASKIM				925036226
Øst	27250	Human Care Ung (tidl Solhaugen)	1378	Humana (tidl Solhaugen Omsorg og behandling AS)	35867	Solbergfoss	Barnevernsinstitusjon	Barnevernsinstitusjon	3	0	/ § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Privat, kommersiell			ØSTFOLD	INDRE ØSTFOLD	Solbergfossveien 83	1814	ASKIM				925036226
Sør	1365	Stendi AS	28085	Stendi Område Sør og Vest	36150	Temse Bofellesskap	Barnevernsinstitusjon	Barnevernsinstitusjon	3	0	/ § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke / § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse / § 4-2 Akutt, uten samtykke		Privat, kommersiell			AGDER	ARENDAL	Nilsesvoldveien 15, 4885 Grimstad 	4848	ARENDAL				916647832
Øst	1365	Stendi AS	28086	Stendi Område Øst	36304	Ødegårdsvei	Barnevernsinstitusjon	Barnevernsinstitusjon	2	0	/ § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke / § 4-2 Akutt, uten samtykke		Privat, kommersiell			AKERSHUS	LØRENSKOG	Ødegårdsvei 36	1470	LØRENSKOG				818263732
Sør	27825	Frelsesarmeens seksjon for oppvekst	1334	Frelsesarmeen institusjon, enhet sør	36872	Konglefaret	Barnevernsinstitusjon	Barnevernsinstitusjon	4	0	/ § 3-2 Hjelpetiltak omsorg / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse		Privat, ideell			BUSKERUD	DRAMMEN	Konglefaret 17	3021	DRAMMEN				930628662
Sør	1365	Stendi AS	28085	Stendi Område Sør og Vest	37065	Bekkevik	Barnevernsinstitusjon	Barnevernsinstitusjon	2	0	/ § 3-2 Hjelpetiltak omsorg / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Privat, kommersiell			AGDER	FARSUND	Sævik 42	4550	FARSUND				916647425
Vest			37000	Sogndal ungdomssenter - Adm.	37146	Sogndal ungdomssenter, avd. Rødstokken	Avdeling	Barnevernsinstitusjon	4	4	/ § 5-1 Omsorgsovertakelse / § 3-2 Hjelpetiltak omsorg / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke		Statlig			VESTLAND	SOGNDAL	Rødstokken 16	6856	SOGNDAL				
Sør			37214	Nøtterøy kommune	37215	Akuttenhet for barn	Barnevernsinstitusjon	Barnevernsinstitusjon	2	0			Kommunal			VESTFOLD	FÆRDER	Kjærnåsveien 13 A	3142	VESTSKOGEN				
Vest	1365	Stendi AS	28085	Stendi Område Sør og Vest	37284	Avdeling Brauta	Barnevernsinstitusjon	Barnevernsinstitusjon	3	0	/ § 3-2 Hjelpetiltak omsorg / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse		Privat, kommersiell			ROGALAND	SOLA	Jåsundvegen 87	4058	TANANGER				918266224
Sør			1274	Næromsorg Sør AS	37394	Bekkedalen	Barnevernsinstitusjon	Barnevernsinstitusjon	2	0	/ § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Privat, kommersiell			AGDER	KRISTIANSAND	Bekkedalen 23	4638	KRISTIANSAND S				917751919
Øst	27879	Aberia Ung AS	52063	Aberia Ung - Østfold	37491	Kambo	Barnevernsinstitusjon	Barnevernsinstitusjon	4	0	/ § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon		Privat, kommersiell			ØSTFOLD	MOSS	Osloveien 182 B	1503	MOSS				984331584
Øst	27879	Aberia Ung AS	52063	Aberia Ung - Østfold	37491	Kambo	Barnevernsinstitusjon	Barnevernsinstitusjon	4	0	/ § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon		Privat, kommersiell			ØSTFOLD	MOSS	Osloveien 182 B	1503	MOSS				984331584
Øst	1365	Stendi AS	28086	Stendi Område Øst	37502	Gaupefjell ungdomsinstitusjon	Barnevernsinstitusjon	Barnevernsinstitusjon	4	0	/ § 3-2 Hjelpetiltak omsorg / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse		Privat, kommersiell			AKERSHUS	NESODDEN	Bjørnelia 54	1453	BJØRNEMYR				985194653
Vest	48647	Human Care Ung AS	28091	Humana Barnevern Sandnes	37738	Obrestad	Avdeling	Barnevernsinstitusjon	3	0	/ § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon		Privat, kommersiell			ROGALAND	HÅ	Håvegen 206	4365	NÆRBØ				818366752
Sør			31011	Den Skreddersydde Enhet AS	37769	Froland	Barnevernsinstitusjon	Barnevernsinstitusjon	3	0	/ § 3-2 Hjelpetiltak omsorg / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 5-1 Omsorgsovertakelse / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Privat, kommersiell			AGDER	FROLAND	Hislihaven 18	4827	FROLANDS VERK				913743059
Sør	48647	Human Care Ung AS	1375	Humana Barnevern Arendal	38162	Lauvstø	Barnevernsinstitusjon	Barnevernsinstitusjon	4	0	/ § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke / § 3-2 Hjelpetiltak omsorg / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse		Privat, kommersiell			AGDER	GRIMSTAD	Ankerveien 4a	4876	GRIMSTAD				929955587
Midt			625	Humla akuttsenter	38710	Humla akuttavdeling	Avdeling	Barnevernsinstitusjon	4	4	/ § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse		Statlig			MØRE OG ROMSDAL	ÅLESUND	Humleveien 90 og 92	6020	ÅLESUND				
Sør			38790	Larvik kommune	38792	Gyda Ressurssenter	Barnevernsinstitusjon	Barnevernsinstitusjon	7	0	/ § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse		Kommunal			VESTFOLD	LARVIK	Dronning Gydasvei 7b	3269	LARVIK				
